StateAbbr,State,County,CountyFIPS,ARTHRITIS,CASTHMA,BPHIGH,CANCER,HIGHCHOL,KIDNEY,COPD,CHD,DIABETES,MHLTH,PHLTH,TEETHLOST,STROKE,TotalPopulation,GenderMajority,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomePerCap,IncomePerCapErr,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,MeanHealthCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment%_2019,Median Household Income_2019,% of State Median HH Income
GA,Georgia,Sumter,13261,28.3,10.9,41.3,6.7,35.3,4,9.7,8.4,17,16.1,16,22.7,5,30687,F,14492,16195,5.3,39.8,52.3,0.1,1.1,0,22763,34219,18785,973,53.5,31.2,17.8,20.6,9,21.4,79.8,13,0,3.3,0.5,3.3,20.3,33.49,11558,74.5,19.8,5.7,0,4.8,40250,0.649717514
GA,Georgia,Talbot,13263,35.9,10.9,47.7,8.2,39.5,4.8,11.7,10.7,20.9,15,18.5,23.8,6.4,6423,F,3030,3393,2.3,40.2,56.4,0.1,0.5,0,5273,37226,21351,2184,19.2,17.3,23.1,19.8,12.4,27.3,77.5,14.2,0.1,0.8,4.5,2.9,34.5,57.36,2620,80.2,15.3,3.9,0.6,4.5,41045,0.662550444
GA,Georgia,Taliaferro,13265,37,11.1,50.6,8.4,41.1,5.3,12.8,11.8,22.2,15.7,19.8,28.1,7.2,1844,M,938,906,4.2,33.7,61.6,0,0.3,0,1532,30500,17939,2994,49.5,19.5,21.5,17.1,18.2,23.8,74,21.4,0,0.6,2.4,1.6,32.9,52.57,627,72.9,21.4,5.7,0,4.9,37046,0.597998386
GA,Georgia,Tattnall,13267,27.4,10,37.9,6.3,35.2,3.6,10.1,8.4,14.8,16.3,16.6,23.5,4.5,25402,M,14892,10510,10.8,58.4,29.2,0.2,0.2,0,19266,36355,16279,1031,38.3,29.6,19.5,21,18.7,11.3,76.5,11.4,0.3,1.2,5.3,5.5,24.9,41.56,7655,67.2,24.9,7.8,0.1,3.8,41457,0.669200969
GA,Georgia,Taylor,13269,33.7,11.2,44.5,7.8,39.2,4.6,12.3,10.7,19.1,16.7,19.1,25.5,6,8267,F,4047,4220,1,57.5,40.4,0,0.9,0,6478,29875,18482,1397,34.9,28.2,20.9,20.4,13,17.5,85.5,11.4,0.3,0.2,1.7,0.9,28.9,42.07,2974,63.1,31,6,0,4,28234,0.455754641
GA,Georgia,Telfair,13271,30.7,10.2,41.7,6.8,37.3,4.3,11.5,10.2,18.4,16.5,18.7,28.2,5.6,16339,M,9532,6807,11.6,49.1,38.8,0,0,0,11475,28044,13594,1022,40.4,24.5,19.2,18,12.1,26.2,88,4.1,0,3,1.8,3.1,22.5,35.67,4823,66.8,27.2,6,0,9.5,36264,0.585375303
GA,Georgia,Terrell,13273,33.8,11.4,46.2,7.6,37.9,4.8,11.6,10.2,19.6,16.3,18.7,25.4,6.3,8978,F,4229,4749,2.7,35.5,60.6,0,0.2,0,6774,32219,17562,1432,57.1,21.5,17.6,26.2,13,21.7,78.7,13.5,0.4,3,0.7,3.7,24.9,39.82,3368,74.6,16,9.3,0,5,37122,0.599225182
GA,Georgia,Thomas,13275,30.1,10.4,38.3,7.5,35.9,4,9.9,8.8,15.3,14.8,16,20,4.9,44909,F,21200,23709,3.5,57.7,35.8,0.1,0.8,0,33339,41336,24047,1673,25.3,35.2,18.6,24.4,8.6,13.3,79.7,14.6,0,1,2.7,2,20.5,36.38,18686,75.1,20.2,4.7,0.1,4,47978,0.774463277
GA,Georgia,Tift,13277,28.4,10.3,36.5,6.7,34.9,3.6,9.3,8,14.2,15.6,15.6,21.2,4.3,40531,F,19502,21029,11.4,56.3,29.3,0.1,1.2,0,28661,38728,20800,896,42.2,31.6,16.4,23.7,13.7,14.6,83,11.5,0.3,1.3,1.6,2.2,19.9,35.24,16935,81,14.4,4.4,0.3,3.4,47764,0.771008878
GA,Georgia,Toombs,13279,30.4,10.5,39,7.2,36.7,3.9,10.7,9.1,16,16.2,17.2,23,4.9,27160,F,12706,14454,11.6,60.5,25.4,0,0.9,0,18462,35750,21309,1954,29.8,26.3,18.2,22.7,17.1,15.6,78.4,14.3,0.6,1.7,2.8,2.3,19.4,32.38,10574,75.8,17.6,6.6,0,4.9,41442,0.668958838
